gravityspy_id,event_time,ifo,ml_label,ml_confidence,snr,duration,peak_frequency
rwpLitSGpO,1241581364.51025,H1,Blip,0.9999998807907104,28.7245693206787,0.25,269.284820556641
FCWNXRHDqT,1240747921.04639,H1,Blip,0.9999998807907104,18.5389003753662,0.09375,217.740966796875
1ZkLOROSXj,1240595566.29834,H1,Blip,0.9999998807907104,14.2938995361328,0.0781200006604195,324.753936767578
Vt13955i2s,1263711472.65381,H1,Blip,0.9999997615814208,22.3089008331299,0.15625,217.740966796875
KaEoAbqde2,1260562379.36035,H1,Blip,0.9999997615814208,17.3188495635986,0.15625,176.063125610352
O4VKjByPVe,1262928872.50537,H1,Blip,0.9999997615814208,15.5720996856689,0.125,217.740966796875
f29b96YTs1,1267959498.61572,H1,Blip,0.9999997615814208,14.3284797668457,0.0781200006604195,217.740966796875
1KeVCs0W9Z,1265026947.38379,H1,Blip,0.9999997615814208,13.1952104568481,0.0390600003302097,176.063125610352
6dnvrO4pbG,1240569360.40576,H1,Blip,0.9999996423721312,24.6336994171143,0.1875,211.476593017578
NAm9ZQ5Cfz,1253210165.88135,H1,Blip,0.9999996423721312,21.4035301208496,0.1875,269.284820556641
LSZdUOEshZ,1262790978.0625,H1,Scattered_Light,0.9999990463256836,22.2807502746582,2.0,35.9645385742188
9Riw6r1kbo,1261529693.125,H1,Scattered_Light,0.9999983310699464,13.3398504257202,1.77648997306824,31.2132205963135
b8PV2D5576,1238738333.875,H1,Scattered_Light,0.9999983310699464,11.4031600952148,1.5,31.5901508331299
pogQCNipaB,1238552901.375,H1,Scattered_Light,0.9999980926513672,11.972430229187,2.0,31.5901508331299
iX6CwQJLn0,1238368990.0625,H1,Scattered_Light,0.999997615814209,9.10639953613281,1.33594000339508,31.2882995605469
AAcd4Aliaw,1243985411.88672,H1,Whistle,1.0,29.8757991790771,1.05566000938416,935.838623046875
qUEUl7Vehj,1240107782.17578,H1,Whistle,1.0,29.8157806396484,0.570309996604919,1016.27038574219
CUIpH3YB9Z,1244757100.73682,H1,Whistle,1.0,29.6756591796875,0.15625,217.740966796875
YmZqY3fIWo,1244852394.31396,H1,Whistle,1.0,29.5265998840332,0.297850012779236,1270.18615722656
f0LNM5pinL,1240771810.58984,H1,Whistle,1.0,28.8773403167725,1.39745998382568,1028.548828125
3YWIjNLmVk,1238824807.73242,H1,Koi_Fish,0.9999827146530152,29.6348705291748,1.0,58.396369934082
8PdOoFwOz9,1238563835.38672,H1,Koi_Fish,0.9999819993972778,28.3134708404541,1.25,47.1237487792969
X9njkRhsmI,1259556042.02539,H1,Koi_Fish,0.999975562095642,25.8250999450684,1.25,49.2082595825195
9yubW912i6,1264858501.41016,H1,Koi_Fish,0.999969482421875,26.7551097869873,1.25,39.7892990112305
1VWylKv0wz,1244083194.32422,H1,Koi_Fish,0.9999083280563354,14.6695604324341,1.0,39.7892990112305
