source,cell_id,family,held_out,severity,asd_policy,seed,detector,t_rel,rho_w,poison_collapsed,gated_recovers,oracle_recovers,gs_label,gs_snr,gs_event_time,native_snr_w,rho_w_over_gs_snr
synthetic_archive,42,broadband_burst,False,6.0,welch,4200034,H1,-0.892589074629087,8000.464732821096,True,True,True,,,,,
synthetic_archive,43,broadband_burst,False,6.0,welch,4300051,H1,-1.4321441221532647,9447.121960260036,True,False,True,,,,,
synthetic_archive,44,broadband_burst,False,6.0,welch,4400068,L1,-1.2713516035112098,737.7990137147583,False,True,True,,,,,
synthetic_archive,45,broadband_burst,False,6.0,stationary,4500000,H1,-1.4387962111406567,7494.842659162888,True,True,True,,,,,
synthetic_archive,46,broadband_burst,False,6.0,stationary,4600017,H1,-0.9373789437262456,9253.631246596067,True,True,True,,,,,
synthetic_archive,47,broadband_burst,False,6.0,stationary,4700034,H1,-1.3787572769793772,9161.58448323178,True,False,True,,,,,
synthetic_archive,48,broadband_burst,False,6.0,stationary,4800051,H1,-1.310173933571989,5592.145418880106,True,False,True,,,,,
synthetic_archive,49,broadband_burst,False,6.0,stationary,4900068,L1,-1.0290994251050318,624.7057768278738,False,True,True,,,,,
synthetic_archive,50,broadband_burst,False,10.0,welch,5000000,H1,-0.3832140576573052,6571.758414260177,True,True,True,,,,,
synthetic_archive,51,broadband_burst,False,10.0,welch,5100017,H1,-1.2213981922073178,11625.541196585693,True,False,True,,,,,
synthetic_archive,52,broadband_burst,False,10.0,welch,5200034,H1,-0.6719640372943799,13166.070861079832,True,True,True,,,,,
synthetic_archive,53,broadband_burst,False,10.0,welch,5300051,H1,-0.9394597096981996,11538.672668813064,True,True,True,,,,,
synthetic_archive,54,broadband_burst,False,10.0,welch,5400068,L1,-0.3526072172355904,1058.6966363724766,True,True,True,,,,,
synthetic_archive,55,broadband_burst,False,10.0,stationary,5500000,H1,-1.11840770036124,14535.796303312418,True,False,False,,,,,
synthetic_archive,56,broadband_burst,False,10.0,stationary,5600017,H1,-0.7156370976178945,15377.492408140435,True,True,True,,,,,
synthetic_archive,57,broadband_burst,False,10.0,stationary,5700034,H1,-0.8461464414658612,9377.225908824395,True,True,True,,,,,
synthetic_archive,58,broadband_burst,False,10.0,stationary,5800051,H1,-0.7707237343834755,9318.3361903011,True,True,True,,,,,
synthetic_archive,59,broadband_burst,False,10.0,stationary,5900068,L1,-0.992542759653126,1234.8193205487687,False,True,True,,,,,
synthetic_archive,60,whistle,False,3.0,welch,6000000,H1,-0.999251316591554,15036.431602659226,True,True,True,,,,,
synthetic_archive,61,whistle,False,3.0,welch,6100017,H1,-0.439803032619308,10331.59931320567,False,True,False,,,,,
synthetic_archive,62,whistle,False,3.0,welch,6200034,H1,-0.6900087490952481,9419.856471309771,False,True,True,,,,,
synthetic_archive,63,whistle,False,3.0,welch,6300051,H1,-1.3376530464663798,9804.93820321198,False,True,True,,,,,
synthetic_archive,64,whistle,False,3.0,welch,6400068,L1,-0.7141168154961158,1181.6348731885978,False,True,False,,,,,
synthetic_archive,65,whistle,False,3.0,stationary,6500000,H1,-1.330356746345751,15828.752545896166,True,False,False,,,,,
synthetic_archive,66,whistle,False,3.0,stationary,6600017,H1,-1.2582661894364648,13290.76199127246,False,True,False,,,,,
synthetic_archive,67,whistle,False,3.0,stationary,6700034,H1,-1.164657543085111,15015.371349903198,True,False,False,,,,,
synthetic_archive,68,whistle,False,3.0,stationary,6800051,H1,-0.5674710521383648,7381.597798047136,True,True,True,,,,,
synthetic_archive,69,whistle,False,3.0,stationary,6900068,L1,-0.399719495175746,774.4017816205559,False,True,True,,,,,
synthetic_archive,70,whistle,False,6.0,welch,7000000,H1,-0.5503631626520623,19704.909295382764,False,True,True,,,,,
synthetic_archive,71,whistle,False,6.0,welch,7100017,H1,-0.4890129984079548,22677.15725158072,True,True,True,,,,,
synthetic_archive,72,whistle,False,6.0,welch,7200034,H1,-1.1492162747424186,34555.181474507954,False,False,False,,,,,
synthetic_archive,73,whistle,False,6.0,welch,7300051,H1,-0.3622376616805794,24837.747334153628,True,True,False,,,,,
synthetic_archive,74,whistle,False,6.0,welch,7400068,L1,-1.0510710073461964,1878.0676581002035,True,True,True,,,,,
synthetic_archive,75,whistle,False,6.0,stationary,7500000,H1,-1.3733104372367826,24657.8484000916,True,True,True,,,,,
synthetic_archive,76,whistle,False,6.0,stationary,7600017,H1,-1.1160833006869384,28111.53058844061,True,True,False,,,,,
synthetic_archive,77,whistle,False,6.0,stationary,7700034,H1,-1.446312730511795,20223.87719847416,False,True,True,,,,,
synthetic_archive,78,whistle,False,6.0,stationary,7800051,H1,-0.9969596657983674,15406.253219734888,True,True,True,,,,,
synthetic_archive,79,whistle,False,6.0,stationary,7900068,L1,-0.6998336113191188,2439.5033332966086,False,True,True,,,,,
synthetic_archive,80,whistle,False,10.0,welch,8000000,H1,-0.4398260444396983,50275.21147724219,True,True,False,,,,,
synthetic_archive,81,whistle,False,10.0,welch,8100017,H1,-0.6974708634259391,60246.66630602062,False,True,False,,,,,
synthetic_archive,82,whistle,False,10.0,welch,8200034,H1,-1.1205867179212434,54948.895786112626,False,True,True,,,,,
synthetic_archive,83,whistle,False,10.0,welch,8300051,H1,-1.1455080440869392,35003.20234659851,True,False,False,,,,,
synthetic_archive,84,whistle,False,10.0,welch,8400068,L1,-0.963287199327492,3717.9326025965433,False,True,True,,,,,
synthetic_archive,85,whistle,False,10.0,stationary,8500000,H1,-0.3553441903613665,49287.86107485471,True,True,False,,,,,
synthetic_archive,86,whistle,False,10.0,stationary,8600017,H1,-1.147291784458294,56992.69127134003,True,False,False,,,,,
synthetic_archive,87,whistle,False,10.0,stationary,8700034,H1,-1.4681257270716948,28790.690835594207,True,False,True,,,,,
synthetic_archive,88,whistle,False,10.0,stationary,8800051,H1,-0.5884365219854875,39959.24109716609,True,True,False,,,,,
synthetic_archive,89,whistle,False,10.0,stationary,8900068,L1,-1.3535302951999226,3856.527458566204,False,True,True,,,,,
synthetic_archive,90,scattered_light,False,3.0,welch,9000000,H1,-1.4780031931557085,8489.114264862765,False,False,False,,,,,
synthetic_archive,91,scattered_light,False,3.0,welch,9100017,H1,-0.3090728265208645,7036.136399247842,False,True,True,,,,,
synthetic_archive,92,scattered_light,False,3.0,welch,9200034,H1,-0.80319560614285,11598.084035582542,False,False,False,,,,,
synthetic_archive,93,scattered_light,False,3.0,welch,9300051,H1,-1.3238844772576497,9026.772517076655,False,False,False,,,,,
synthetic_archive,94,scattered_light,False,3.0,welch,9400068,L1,-0.5385253230231454,1343.9208956660705,False,True,False,,,,,
synthetic_archive,95,scattered_light,False,3.0,stationary,9500000,H1,-1.2610265247166292,13471.497284064635,True,False,False,,,,,
synthetic_archive,96,scattered_light,False,3.0,stationary,9600017,H1,-0.9548929894397652,4299.781898503533,False,True,True,,,,,
synthetic_archive,97,scattered_light,False,3.0,stationary,9700034,H1,-0.480371730470593,9734.68455832329,True,True,False,,,,,
synthetic_archive,98,scattered_light,False,3.0,stationary,9800051,H1,-1.2526376254342622,7089.500828807288,True,False,True,,,,,
synthetic_archive,99,scattered_light,False,3.0,stationary,9900068,L1,-0.6429188159183077,1226.2765330818263,True,True,False,,,,,
synthetic_archive,100,scattered_light,False,6.0,welch,10000000,H1,-1.112808898637093,15492.310079010693,False,False,False,,,,,
synthetic_archive,101,scattered_light,False,6.0,welch,10100017,H1,-0.6445339504468133,11557.194376411786,False,True,False,,,,,
synthetic_archive,102,scattered_light,False,6.0,welch,10200034,H1,-0.5853026068243218,16308.088414968852,False,True,False,,,,,
synthetic_archive,103,scattered_light,False,6.0,welch,10300051,H1,-0.5150628280213116,7172.18768273214,False,True,True,,,,,
synthetic_archive,104,scattered_light,False,6.0,welch,10400068,L1,-1.3950785943812158,1537.7564662424015,False,True,True,,,,,
synthetic_archive,105,scattered_light,False,6.0,stationary,10500000,H1,-0.7846491043433397,16883.274375691588,False,True,True,,,,,
synthetic_archive,106,scattered_light,False,6.0,stationary,10600017,H1,-0.7606432114496257,11362.456013361065,True,True,False,,,,,
synthetic_archive,107,scattered_light,False,6.0,stationary,10700034,H1,-1.1126269482248152,22378.644839529912,True,False,False,,,,,
synthetic_archive,108,scattered_light,False,6.0,stationary,10800051,H1,-1.2306368032119956,22393.854603059375,True,False,False,,,,,
synthetic_archive,109,scattered_light,False,6.0,stationary,10900068,L1,-1.2532559371316687,1687.75677137385,True,True,False,,,,,
synthetic_archive,110,scattered_light,False,10.0,welch,11000000,H1,-0.7452876364637794,42704.955510185864,True,False,False,,,,,
synthetic_archive,111,scattered_light,False,10.0,welch,11100017,H1,-1.2059864548534218,20028.786490487106,False,False,False,,,,,
synthetic_archive,112,scattered_light,False,10.0,welch,11200034,H1,-0.5770503784853489,33558.1676958274,False,True,False,,,,,
synthetic_archive,113,scattered_light,False,10.0,welch,11300051,H1,-0.5693912577552228,42575.94863841874,True,False,False,,,,,
synthetic_archive,114,scattered_light,False,10.0,welch,11400068,L1,-0.9383590968772024,3855.1942680843617,False,True,False,,,,,
synthetic_archive,115,scattered_light,False,10.0,stationary,11500000,H1,-1.4534458998761368,33618.19157582349,True,False,False,,,,,
synthetic_archive,116,scattered_light,False,10.0,stationary,11600017,H1,-1.3965104153473535,18194.411528200635,True,False,True,,,,,
synthetic_archive,117,scattered_light,False,10.0,stationary,11700034,H1,-0.4712913835947129,28936.47190874492,True,True,False,,,,,
synthetic_archive,118,scattered_light,False,10.0,stationary,11800051,H1,-1.0511674922281231,21985.28735175337,False,False,False,,,,,
synthetic_archive,119,scattered_light,False,10.0,stationary,11900068,L1,-1.3439933525066834,3718.0186377859654,True,False,False,,,,,
synthetic_archive,120,glitch_train,False,3.0,welch,12000000,H1,-0.3142884940433048,3087.723150717235,False,True,False,,,,,
synthetic_archive,121,glitch_train,False,3.0,welch,12100017,H1,-0.9113162182866732,4769.725785545318,True,True,True,,,,,
synthetic_archive,122,glitch_train,False,3.0,welch,12200034,H1,-0.432474717478109,1528.0134773368554,False,True,True,,,,,
synthetic_archive,123,glitch_train,False,3.0,welch,12300051,H1,-1.3915850050552383,4154.752507236341,False,True,True,,,,,
synthetic_archive,124,glitch_train,False,3.0,welch,12400068,L1,-0.3011002268728117,283.54636627552037,False,True,True,,,,,
synthetic_archive,125,glitch_train,False,3.0,stationary,12500000,H1,-0.8495329274741136,2136.4729063331783,True,True,True,,,,,
synthetic_archive,126,glitch_train,False,3.0,stationary,12600017,H1,-0.3457322981778042,4681.794842474049,True,True,True,,,,,
synthetic_archive,127,glitch_train,False,3.0,stationary,12700034,H1,-0.4366121043123926,4336.854501909737,True,True,True,,,,,
synthetic_archive,128,glitch_train,False,3.0,stationary,12800051,H1,-0.7900694347547768,4233.590707992197,False,True,True,,,,,
synthetic_archive,129,glitch_train,False,3.0,stationary,12900068,L1,-0.8918929377255722,246.05315334641168,False,True,True,,,,,
synthetic_archive,130,glitch_train,False,6.0,welch,13000000,H1,-0.4839057936416183,6595.570105872914,False,True,True,,,,,
synthetic_archive,131,glitch_train,False,6.0,welch,13100017,H1,-1.1834421202709997,7575.065851237169,False,True,True,,,,,
synthetic_archive,132,glitch_train,False,6.0,welch,13200034,H1,-1.3187681856626703,10109.954132599934,False,True,True,,,,,
