cell_id,detectors,t_rel,gate_t_start_rel,gate_t_end_rel,luminosity_distance_lo,luminosity_distance_med,luminosity_distance_hi,chirp_mass_lo,chirp_mass_med,chirp_mass_hi,mass_ratio_lo,mass_ratio_med,mass_ratio_hi,theta_jn_lo,theta_jn_med,theta_jn_hi,gated_recovers,poison_style_collapse,delta_dL_med,js_chirp_mass,js_mass_ratio,js_luminosity_distance,js_theta_jn,js_geocent_time,js_max,power_removed_frac_H1,power_removed_frac_L1,modified_detectors,error,elapsed_s
0,H1,-0.8534689628213822,-1.2534689628213822,-0.45346896282138216,14.386331176757812,30.142112731933594,43.94859371185303,1.197478312253952,1.1975889801979065,1.1977071583271026,0.7386214107275009,0.8793351054191589,0.9822927474975586,1.885371333360672,2.25998592376709,2.873393940925598,True,False,-3.716938018798828,0.045689923236750106,0.016972512869329423,0.07662004460144697,0.047579811748756695,0.0438426769619309,0.07662004460144697,0.00750679519006991,0.0,H1,,1.755
1,H1,-1.5143839152250334,-1.9143839152250335,-1.1143839152250332,16.64590358734131,32.0644588470459,45.284690856933594,1.197472721338272,1.197576105594635,1.1976930975914002,0.7218601673841476,0.8789950907230377,0.989383465051651,1.9202232003211974,2.3204548358917236,2.9278612971305846,True,False,-1.7945919036865234,0.027814927733024367,0.033109326460458166,0.03968600522978173,0.041786591214202,0.03379219582700173,0.041786591214202,0.006430161626804605,0.0,H1,,1.915
2,H1,-1.9262476569148494,-2.3262476569148496,-1.5262476569148493,12.546454429626465,20.473682403564453,43.18368434906006,1.197444701194763,1.1975663304328918,1.19768528342247,0.7191757231950759,0.8784434199333191,0.9855048775672912,1.8276405870914458,2.007351875305176,2.7318368196487426,False,False,-13.385368347167969,0.032628412228454404,0.03342975823593545,0.15849498937743872,0.16153665048396085,0.04627811109106575,0.16153665048396085,0.00724134629155623,0.0,H1,,1.792
3,H1,-1.9702502560486477,-2.3702502560486476,-1.5702502560486478,19.44711837768555,34.4403190612793,45.6287618637085,1.1974786043167114,1.1975815296173096,1.1976972043514251,0.7265673607587815,0.8860684931278229,0.9841681659221649,1.9595064699649811,2.3699485063552856,2.9173035860061645,True,False,0.581268310546875,0.031006471661752466,0.028408668528363504,0.03584131263743297,0.031733941753803695,0.043010902909872445,0.043010902909872445,0.00755994022687687,0.0,H1,,1.666
4,H1,-0.5361135694395096,-0.9361135694395096,-0.13611356943950959,22.8487699508667,36.971839904785156,45.85096740722656,1.1974485218524933,1.1975556015968323,1.1976761996746064,0.7084512889385224,0.8787340521812439,0.9871864974498749,1.9566893815994262,2.4495426416397095,2.9343689680099487,True,False,3.1127891540527344,0.0434991158358707,0.03130873892227628,0.05468907798197503,0.038346815957921235,0.0450562756471187,0.05468907798197503,0.00410214562682497,0.0,H1,,1.595
5,H1,-0.3570399609001009,-0.7570399609001008,0.04296003909989915,16.016450119018554,30.014697074890137,43.93707447052002,1.19747074842453,1.197588562965393,1.1977252066135406,0.7162046045064926,0.879585862159729,0.9862915277481079,1.8921637773513793,2.2332050800323486,2.8240978121757507,True,False,-3.844353675842285,0.0374065324140071,0.036913484551292626,0.05725071338259154,0.050997932104810594,0.03500948079854066,0.05725071338259154,0.004626624400153817,0.0,H1,,1.583
6,H1,-0.9080556036190762,-1.3080556036190762,-0.5080556036190762,14.248449516296386,27.49058723449707,44.42258491516113,1.1974641621112823,1.1975864171981812,1.1977197229862213,0.7060092002153396,0.8721993267536163,0.9855846285820007,1.8523688197135926,2.174374580383301,2.8311175823211667,True,False,-6.368463516235352,0.04030211546939512,0.030831569851137317,0.0741376001787366,0.07331910268492489,0.047557820026456754,0.0741376001787366,0.007835329779655734,0.0,H1,,1.668
7,H1,-0.6869061902288028,-1.0869061902288029,-0.2869061902288028,13.73252830505371,26.650615692138672,43.31251449584961,1.1974780678749084,1.1975814700126648,1.197706800699234,0.7200995415449143,0.8792510032653809,0.9886695176362992,1.869978666305542,2.154021978378296,2.8391257762908935,True,False,-7.20843505859375,0.040489546349200864,0.028114580934542943,0.0943323645190508,0.06538284376245426,0.044281132138202235,0.0943323645190508,0.006522130770971508,0.0,H1,,1.643
8,H1,-1.0214750153622387,-1.4214750153622386,-0.6214750153622387,16.354684829711914,30.82353687286377,43.75303020477295,1.1974710881710053,1.1975793242454529,1.1977122902870179,0.7257657408714294,0.8763847053050995,0.9852977991104126,1.921011006832123,2.2809455394744873,2.8835220336914062,True,False,-3.0355138778686523,0.027849068161673957,0.033184170138224015,0.043260255436566655,0.037994610584205474,0.037745068263267956,0.043260255436566655,0.008295148004860944,0.0,H1,,1.717
9,H1,-0.31686963718201716,-0.7168696371820171,0.08313036281798286,22.951498222351074,35.631879806518555,44.9727201461792,1.1974531948566436,1.197567880153656,1.1976838827133178,0.7259567528963089,0.8762848079204559,0.9873218178749085,1.9879929006099701,2.456216335296631,2.966443336009979,True,False,1.7728290557861328,0.04005656237168313,0.03463736126269425,0.05279058765047916,0.039618463742099014,0.0504451757911443,0.05279058765047916,0.005272985017341696,0.0,H1,,1.774
