cell_id,family,severity,held_out,arm,lo,med,hi,recovers_like_clean,poison_collapsed,n_gates,detector_fired,t_inject_detect_s,t_rebuild_s,t_pe_s,error
7,broadband_burst,10.0,False,adapt_full,18.465380477905274,34.729562759399414,45.099694633483885,True,False,1,True,3.1774,0.0263,1.4734,
7,broadband_burst,10.0,False,fft_replace,9.951905059814454,10.010679244995117,10.140861701965331,False,True,1,True,3.1774,0.0263,1.4918,
8,scattered_light,6.0,False,poison_welch,14.020838165283203,18.877477645874023,35.38075218200683,False,False,1,True,3.1994,0.0245,1.4704,
8,scattered_light,6.0,False,glitch_orig_asd,8.650691413879395,8.670438766479492,8.692523574829101,False,True,1,True,3.1994,0.0245,1.3668,
8,scattered_light,6.0,False,gate_welch,12.795232772827148,16.90693473815918,22.771608543395992,False,False,1,True,3.1994,0.0245,1.6175,
8,scattered_light,6.0,False,adapt_full,21.40392303466797,35.45156288146973,45.13487663269043,True,False,1,True,3.1994,0.0245,1.5138,
8,scattered_light,6.0,False,fft_replace,9.954413986206054,10.01815414428711,10.141860580444336,False,True,1,True,3.1994,0.0245,1.5925,
9,scattered_light,6.0,False,poison_welch,15.800356483459472,25.02300453186035,45.38201503753662,True,False,1,True,3.1602,0.0254,1.4427,
9,scattered_light,6.0,False,glitch_orig_asd,10.214484024047852,11.318717956542969,12.830184745788573,False,True,1,True,3.1602,0.0254,1.4691,
9,scattered_light,6.0,False,gate_welch,18.3956205368042,31.45131492614746,46.19805393218994,True,False,1,True,3.1602,0.0254,1.481,
9,scattered_light,6.0,False,adapt_full,19.3980806350708,34.54599380493164,44.89055137634277,True,False,1,True,3.1602,0.0254,1.5218,
9,scattered_light,6.0,False,fft_replace,9.960611343383789,10.025545120239258,10.207620620727539,False,True,1,True,3.1602,0.0254,1.5265,
10,scattered_light,10.0,False,poison_welch,10.053657913208008,10.915023803710938,13.607100486755371,False,True,1,True,3.1716,0.0254,1.4576,
10,scattered_light,10.0,False,glitch_orig_asd,103.06275939941406,103.06295776367188,103.06462783813477,False,True,1,True,3.1716,0.0254,1.5959,
