gravityspy_id,event_time,ifo,ml_label,ml_confidence,snr,snr_bin,duration,peak_frequency,error
LSZdUOEshZ,1262790978.0625,H1,Scattered_Light,0.9999990463256836,22.2807502746582,"[8,30)",2.0,35.9645385742188,ValueError: non-finite samples in fetched strain (data gap)
rxj29PeauQ,1260888319.23047,H1,Whistle,0.9999964237213136,149.430938720703,"[100,300)",1.38183999061584,483.845703125,ValueError: non-finite samples in fetched strain (data gap)
