cell_id,family,held_out,severity,asd_policy,seed,detectors,t_rel,params_json,poison_lo,poison_med,poison_hi,poison_collapsed,gated_lo,gated_med,gated_hi,gated_recovers,oracle_lo,oracle_med,oracle_hi,oracle_recovers,detector_n_gates,detector_fired,oracle_only_recovery,residual_power_H1,residual_power_L1,error,elapsed_s,gs_label,gs_event_time,gs_snr,gs_duration,gs_confidence,excerpt_window_s,severity_mode,scale_k,native_snr,injected_snr_w,injected_inband_rms_ratio,is_noise_control,gates_json
0,Blip,True,nan,stationary,0,H1,-0.37791309145467816,"{""gs_event_time"": 1241581364.51025, ""window_s"": 1.0, ""mode"": ""native""}",19.504533195495604,33.748300552368164,45.98140048980713,False,19.485009574890135,34.015377044677734,45.7840015411377,True,15.656452751159668,30.24016571044922,45.22098159790039,True,0,False,False,0.0,0.0,,4.282,Blip,1241581364.51025,28.7245693206787,0.25,0.9999998807907104,1.0,native,34.44049011860848,27.370771657408476,27.370771657408472,0.004521914624871528,False,[]
1,Blip,True,3.0,stationary,0,H1,-0.37791309145467816,"{""gs_event_time"": 1241581364.51025, ""window_s"": 1.0, ""mode"": ""ladder""}",7.6473184585571286,7.653221130371094,7.6649932861328125,True,20.330930519104005,35.11126708984375,44.621768379211424,True,14.80052146911621,28.605327606201172,44.92877559661865,True,1,True,False,0.08631126566663408,0.0,,4.274,Blip,1241581364.51025,28.7245693206787,0.25,0.9999998807907104,1.0,ladder,22849.053758674378,27.370771657408476,18158.74950857974,3.0,False,"[[-2.0, 2.0]]"
2,Blip,True,6.0,stationary,0,H1,-0.37791309145467816,"{""gs_event_time"": 1241581364.51025, ""window_s"": 1.0, ""mode"": ""ladder""}",103.44783020019531,103.47232055664062,103.57321166992188,True,21.694018936157228,36.16169548034668,45.10970821380615,True,12.91431884765625,23.28014373779297,42.67490768432617,False,1,True,False,0.08631313382601088,0.0,,3.92,Blip,1241581364.51025,28.7245693206787,0.25,0.9999998807907104,1.0,ladder,45698.107517348755,27.370771657408476,36317.49901715948,6.0,False,"[[-2.0, 2.0]]"
3,Blip,True,10.0,stationary,0,H1,-0.37791309145467816,"{""gs_event_time"": 1241581364.51025, ""window_s"": 1.0, ""mode"": ""ladder""}",103.28319053649902,103.483154296875,103.48338050842285,True,20.76912326812744,35.42982482910156,44.86662063598633,True,10.700535202026368,13.457996368408203,21.06940231323242,False,1,True,False,0.08631756184056526,0.0,,4.275,Blip,1241581364.51025,28.7245693206787,0.25,0.9999998807907104,1.0,ladder,76163.5125289146,27.370771657408476,60529.16502859914,10.0,False,"[[-2.0, 2.0]]"
4,Blip,True,nan,stationary,0,H1,-0.5209757350541615,"{""gs_event_time"": 1240747921.04639, ""window_s"": 1.0, ""mode"": ""native""}",19.58366870880127,35.281288146972656,44.959115219116214,False,18.805903816223143,33.39225196838379,44.9089656829834,True,11.90319595336914,17.73910140991211,40.84447441101074,False,1,True,False,0.03512819943758016,0.0,,4.313,Blip,1240747921.04639,18.5389003753662,0.09375,0.9999998807907104,1.0,native,54.003019607542136,27.282216663097007,27.282216663097014,0.004709038160890981,False,"[[-1.213, -0.287]]"
5,Blip,True,3.0,stationary,0,H1,-0.5209757350541615,"{""gs_event_time"": 1240747921.04639, ""window_s"": 1.0, ""mode"": ""ladder""}",7.514176750183106,7.5184478759765625,7.524865341186524,True,20.31855754852295,34.67180061340332,45.196665382385255,True,14.751275634765625,26.297107696533203,43.97966251373291,True,1,True,False,0.08631126554993959,0.0,,4.377,Blip,1240747921.04639,18.5389003753662,0.09375,0.9999998807907104,1.0,ladder,34403.85345952967,27.282216663097007,17380.757427076172,3.0,False,"[[-2.0, 2.0]]"
6,Blip,True,6.0,stationary,0,H1,-0.5209757350541615,"{""gs_event_time"": 1240747921.04639, ""window_s"": 1.0, ""mode"": ""ladder""}",7.485380172729492,7.487831115722656,7.489748001098633,True,19.900809478759765,34.54355239868164,44.85314655303955,True,17.279565811157227,33.55864334106445,45.932539558410646,True,1,True,False,0.0863131335926106,0.0,,4.237,Blip,1240747921.04639,18.5389003753662,0.09375,0.9999998807907104,1.0,ladder,68807.70691905935,27.282216663097007,34761.514854152345,6.0,False,"[[-2.0, 2.0]]"
7,Blip,True,10.0,stationary,0,H1,-0.5209757350541615,"{""gs_event_time"": 1240747921.04639, ""window_s"": 1.0, ""mode"": ""ladder""}",103.53396606445312,103.53684997558594,103.53959579467774,True,21.570606994628907,34.38222885131836,44.9608003616333,True,20.67774715423584,35.10536766052246,45.90439167022705,True,1,True,False,0.08631756145155452,0.0,,4.276,Blip,1240747921.04639,18.5389003753662,0.09375,0.9999998807907104,1.0,ladder,114679.51153176559,27.282216663097007,57935.85809025391,10.0,False,"[[-2.0, 2.0]]"
8,Blip,True,nan,stationary,0,H1,-1.4967137997958222,"{""gs_event_time"": 1240595566.29834, ""window_s"": 1.0, ""mode"": ""native""}",17.557370376586913,33.46277046203613,45.654277610778806,False,13.195022583007812,21.47606086730957,42.73092346191406,False,19.00011463165283,34.296504974365234,44.85109176635742,True,1,True,True,0.043991692102857485,0.0,,4.322,Blip,1240595566.29834,14.2938995361328,0.0781200006604195,0.9999998807907104,1.0,native,31.50325342416871,12.583806420976098,12.583806420976098,0.002095137208338339,False,"[[-2.0, -1.037]]"
9,Blip,True,3.0,stationary,0,H1,-1.4967137997958222,"{""gs_event_time"": 1240595566.29834, ""window_s"": 1.0, ""mode"": ""ladder""}",7.653777313232422,7.683734893798828,7.701698303222656,True,100.04267768859863,100.95038604736328,102.6182357788086,False,18.154193878173828,34.2078971862793,45.66128635406494,True,1,True,True,0.0863107826202209,0.0,,4.187,Blip,1240595566.29834,14.2938995361328,0.0781200006604195,0.9999998807907104,1.0,ladder,45109.103067985765,12.583806420976098,18018.5904353582,2.9999999999999996,False,"[[-2.0, 2.0]]"
10,Blip,True,6.0,stationary,0,H1,-1.4967137997958222,"{""gs_event_time"": 1240595566.29834, ""window_s"": 1.0, ""mode"": ""ladder""}",103.33939094543457,103.34150314331055,103.54883346557617,True,7.651924514770508,7.685466766357422,7.6997583389282225,False,18.4187442779541,30.91168785095215,45.64117012023926,True,1,True,True,0.0863112017249376,0.0,,4.115,Blip,1240595566.29834,14.2938995361328,0.0781200006604195,0.9999998807907104,1.0,ladder,90218.20613597153,12.583806420976098,36037.1808707164,5.999999999999999,False,"[[-2.0, 2.0]]"
11,Blip,True,10.0,stationary,0,H1,-1.4967137997958222,"{""gs_event_time"": 1240595566.29834, ""window_s"": 1.0, ""mode"": ""ladder""}",103.33309936523438,103.33343505859375,103.38489112854003,True,7.685947418212891,7.688556671142578,7.692691802978516,False,18.60816421508789,32.38864707946777,45.33460521697998,True,1,True,True,0.08631219513065311,0.0,,4.373,Blip,1240595566.29834,14.2938995361328,0.0781200006604195,0.9999998807907104,1.0,ladder,150363.67689328588,12.583806420976098,60061.96811786066,9.999999999999996,False,"[[-2.0, 2.0]]"
12,Blip,True,nan,stationary,0,H1,-0.4711148680949168,"{""gs_event_time"": 1263711472.65381, ""window_s"": 1.0, ""mode"": ""native""}",19.214026260375977,35.126808166503906,45.63749256134033,False,17.939535713195802,34.34944152832031,45.08480663299561,True,15.258060264587403,30.74370765686035,44.95520133972168,True,1,True,False,0.04859621667572654,0.0,,4.221,Blip,1263711472.65381,22.3089008331299,0.15625,0.9999997615814208,1.0,native,48.439330746417426,33.91878236902087,33.91878236902086,0.006754077634994689,False,"[[-1.213, 0.338]]"
13,Blip,True,3.0,stationary,0,H1,-0.4711148680949168,"{""gs_event_time"": 1263711472.65381, ""window_s"": 1.0, ""mode"": ""ladder""}",99.94696884155273,99.96064758300781,99.96259918212891,True,19.24910526275635,35.55726623535156,45.19049568176269,True,14.71621913909912,29.310470581054688,44.75329360961914,True,1,True,False,0.08631127815264523,0.0,,4.295,Blip,1263711472.65381,22.3089008331299,0.15625,0.9999997615814208,1.0,ladder,21515.59400003351,33.91878236902087,15065.913157384453,2.9999999999999996,False,"[[-2.0, 2.0]]"
14,Blip,True,6.0,stationary,0,H1,-0.4711148680949168,"{""gs_event_time"": 1263711472.65381, ""window_s"": 1.0, ""mode"": ""ladder""}",,,,,,,,,,,,,,,,,,AssertionError: ,1.474,Blip,1263711472.65381,22.3089008331299,0.15625,0.9999997615814208,1.0,ladder,43031.18800006702,33.91878236902087,30131.826314768907,5.999999999999999,False,
15,Blip,True,10.0,stationary,0,H1,-0.4711148680949168,"{""gs_event_time"": 1263711472.65381, ""window_s"": 1.0, ""mode"": ""ladder""}",7.7159881591796875,103.2301254272461,103.25332336425781,False,19.52775630950928,34.509056091308594,44.57673511505127,True,12.553042030334472,22.267436981201172,44.34961433410645,False,1,True,False,0.08631760364737887,0.0,,4.164,Blip,1263711472.65381,22.3089008331299,0.15625,0.9999997615814208,1.0,ladder,71718.64666677837,33.91878236902087,50219.71052461484,10.0,False,"[[-2.0, 2.0]]"
16,Blip,True,nan,stationary,0,H1,-1.4596973096334427,"{""gs_event_time"": 1260562379.36035, ""window_s"": 1.0, ""mode"": ""native""}",15.992744445800781,33.00474548339844,45.9993091583252,False,17.208985328674316,32.657033920288086,45.44860019683838,True,19.14467258453369,33.79565238952637,44.7544605255127,True,1,True,False,0.04769599730125745,0.0,,4.287,Blip,1260562379.36035,17.3188495635986,0.15625,0.9999997615814208,1.0,native,57.667258601307495,32.0497865440787,32.0497865440787,0.008777986800201334,False,"[[-2.0, -0.787]]"
17,Blip,True,3.0,stationary,0,H1,-1.4596973096334427,"{""gs_event_time"": 1260562379.36035, ""window_s"": 1.0, ""mode"": ""ladder""}",100.00168685913086,100.00585174560547,101.71362571716308,True,99.94856491088868,99.96076583862305,100.26465606689453,False,15.866334533691406,30.517983436584473,45.26162815093994,True,1,True,True,0.08631082105411468,0.0,,4.224,Blip,1260562379.36035,17.3188495635986,0.15625,0.9999997615814208,1.0,ladder,19708.593751810433,32.0497865440787,10953.46368372652,3.0,False,"[[-2.0, 2.0]]"
18,Blip,True,6.0,stationary,0,H1,-1.4596973096334427,"{""gs_event_time"": 1260562379.36035, ""window_s"": 1.0, ""mode"": ""ladder""}",7.6866802215576175,7.691738128662109,7.701016426086426,True,99.95171585083008,100.0175666809082,100.0228443145752,False,14.841878890991211,26.69423198699951,45.51090755462646,True,1,True,True,0.086311376505133,0.0,,4.17,Blip,1260562379.36035,17.3188495635986,0.15625,0.9999997615814208,1.0,ladder,39417.187503620866,32.0497865440787,21906.92736745304,6.0,False,"[[-2.0, 2.0]]"
19,Blip,True,10.0,stationary,0,H1,-1.4596973096334427,"{""gs_event_time"": 1260562379.36035, ""window_s"": 1.0, ""mode"": ""ladder""}",7.522333335876465,7.667366027832031,7.696795654296875,True,7.6428831100463865,7.658403396606445,7.6608123779296875,False,13.096817016601562,20.466720581054688,43.6478609085083,False,1,True,False,0.08631270400793767,0.0,,4.399,Blip,1260562379.36035,17.3188495635986,0.15625,0.9999997615814208,1.0,ladder,65695.31250603478,32.0497865440787,36511.54561242174,10.000000000000002,False,"[[-2.0, 2.0]]"
20,Blip,True,nan,stationary,0,H1,-0.6244134642840672,"{""gs_event_time"": 1262928872.50537, ""window_s"": 1.0, ""mode"": ""native""}",15.563970947265625,31.38343334197998,44.577898216247554,False,19.236664009094238,34.9359130859375,45.03000984191895,True,17.56630058288574,30.65322494506836,45.42777671813965,True,1,True,False,0.044881638646369855,0.0,,4.165,Blip,1262928872.50537,15.5720996856689,0.125,0.9999997615814208,1.0,native,66.40806055919575,28.71106241925495,28.711062419254944,0.011900735492742722,False,"[[-1.338, 0.088]]"
21,Blip,True,3.0,stationary,0,H1,-0.6244134642840672,"{""gs_event_time"": 1262928872.50537, ""window_s"": 1.0, ""mode"": ""ladder""}",103.08071479797363,103.29129028320312,103.29743881225586,True,20.629463386535644,34.181528091430664,45.15130634307861,True,16.862734603881837,28.75644588470459,45.88350639343262,True,1,True,False,0.08591048191594462,0.0,,4.22,Blip,1262928872.50537,15.5720996856689,0.125,0.9999997615814208,1.0,ladder,16740.493207254094,28.71106241925495,7237.635632712816,3.0,False,"[[-2.0, 1.963]]"
22,Blip,True,6.0,stationary,0,H1,-0.6244134642840672,"{""gs_event_time"": 1262928872.50537, ""window_s"": 1.0, ""mode"": ""ladder""}",7.710954856872559,7.71159553527832,7.711982727050781,True,20.40246696472168,34.92231559753418,45.534301376342775,True,16.128696823120116,27.035932540893555,45.96952171325683,True,1,True,False,0.08631316801022663,0.0,,4.233,Blip,1262928872.50537,15.5720996856689,0.125,0.9999997615814208,1.0,ladder,33480.98641450819,28.71106241925495,14475.271265425632,6.0,False,"[[-2.0, 2.0]]"
23,Blip,True,10.0,stationary,0,H1,-0.6244134642840672,"{""gs_event_time"": 1262928872.50537, ""window_s"": 1.0, ""mode"": ""ladder""}",7.499933242797852,7.500835418701172,7.502569198608398,True,20.582916450500488,34.90312194824219,44.70732707977295,True,15.329401016235352,25.251453399658203,46.05876121520996,True,1,True,False,0.08631761857947942,0.0,,4.286,Blip,1262928872.50537,15.5720996856689,0.125,0.9999997615814208,1.0,ladder,55801.644024180314,28.71106241925495,24125.452109042722,10.0,False,"[[-2.0, 2.0]]"
24,Blip,True,nan,stationary,0,H1,-1.289213255276929,"{""gs_event_time"": 1267959498.61572, ""window_s"": 1.0, ""mode"": ""native""}",18.142312431335448,33.30674934387207,45.004615783691406,False,19.317223358154298,34.97517776489258,45.35115509033203,True,20.03635597229004,32.473127365112305,42.53247337341308,True,1,True,False,0.04923287627261178,0.0,,4.165,Blip,1267959498.61572,14.3284797668457,0.0781200006604195,0.9999997615814208,1.0,native,50.57590579269152,21.99321168248626,21.99321168248626,0.0046541208857909825,False,"[[-2.0, -0.662]]"
25,Blip,True,3.0,stationary,0,H1,-1.289213255276929,"{""gs_event_time"": 1267959498.61572, ""window_s"": 1.0, ""mode"": ""ladder""}",99.9696891784668,99.97047424316406,99.97091255187988,True,8.931887817382812,8.995290756225586,9.05378532409668,False,13.980947494506836,21.429067611694336,40.456733512878415,False,1,True,False,0.0863110232688136,0.0,,4.193,Blip,1267959498.61572,14.3284797668457,0.0781200006604195,0.9999997615814208,1.0,ladder,32600.725486374635,21.99321168248626,14176.60534965785,3.0,False,"[[-2.0, 2.0]]"
26,Blip,True,6.0,stationary,0,H1,-1.289213255276929,"{""gs_event_time"": 1267959498.61572, ""window_s"": 1.0, ""mode"": ""ladder""}",7.683348083496094,7.692934036254883,7.704258918762207,True,11.513961029052734,11.800397872924805,12.200152587890624,False,11.088343238830566,13.547971725463867,18.304383850097658,False,1,True,False,0.086312161842482,0.0,,4.287,Blip,1267959498.61572,14.3284797668457,0.0781200006604195,0.9999997615814208,1.0,ladder,65201.45097274927,21.99321168248626,28353.2106993157,6.0,False,"[[-2.0, 2.0]]"
27,Blip,True,10.0,stationary,0,H1,-1.289213255276929,"{""gs_event_time"": 1267959498.61572, ""window_s"": 1.0, ""mode"": ""ladder""}",7.481233978271485,7.483198165893555,7.492453765869141,True,99.88722229003906,99.88829040527344,99.89444923400879,False,10.061155128479005,10.613630294799805,12.259762001037597,False,1,True,False,0.08631485932278554,0.0,,4.253,Blip,1267959498.61572,14.3284797668457,0.0781200006604195,0.9999997615814208,1.0,ladder,108669.08495458211,21.99321168248626,47255.35116552616,10.0,False,"[[-2.0, 2.0]]"
28,Blip,True,nan,stationary,0,H1,-0.4641852931801361,"{""gs_event_time"": 1265026947.38379, ""window_s"": 1.0, ""mode"": ""native""}",17.197566795349122,31.167407989501953,44.64920787811279,False,17.0390567779541,32.488525390625,45.46444873809814,True,16.441167640686036,32.65065002441406,44.81582202911377,True,0,False,False,0.0,0.0,,4.868,Blip,1265026947.38379,13.1952104568481,0.0390600003302097,0.9999997615814208,1.0,native,42.27607522203694,14.641882280005287,14.641882280005285,0.002659466917543934,False,[]
