cell_id,family,held_out,severity,asd_policy,seed,detectors,t_rel,params_json,poison_lo,poison_med,poison_hi,poison_collapsed,gated_lo,gated_med,gated_hi,gated_recovers,oracle_lo,oracle_med,oracle_hi,oracle_recovers,detector_n_gates,detector_fired,oracle_only_recovery,residual_power_H1,residual_power_L1,error,elapsed_s,gs_label,gs_event_time,gs_snr,gs_duration,gs_confidence,excerpt_window_s,severity_mode,scale_k,native_snr,injected_snr_w,injected_inband_rms_ratio,is_noise_control,gates_json
9,Blip,True,3.0,stationary,0,H1,-1.4967137997958222,"{""gs_event_time"": 1240595566.29834, ""window_s"": 1.0, ""mode"": ""ladder""}",7.653777313232422,7.683734893798828,7.701698303222656,True,100.04267768859864,100.95038604736328,102.6182357788086,False,18.154193878173828,34.2078971862793,45.66128635406494,True,1.0,True,True,0.0863107826202209,0.0,,4.187,Blip,1240595566.29834,14.2938995361328,0.0781200006604195,0.9999998807907104,1.0,ladder,45109.103067985765,12.583806420976098,18018.5904353582,2.9999999999999996,False,"[[-2.0, 2.0]]"
10,Blip,True,6.0,stationary,0,H1,-1.4967137997958222,"{""gs_event_time"": 1240595566.29834, ""window_s"": 1.0, ""mode"": ""ladder""}",103.33939094543456,103.34150314331056,103.54883346557617,True,7.651924514770508,7.685466766357422,7.6997583389282225,False,18.4187442779541,30.91168785095215,45.64117012023926,True,1.0,True,True,0.0863112017249376,0.0,,4.115,Blip,1240595566.29834,14.2938995361328,0.0781200006604195,0.9999998807907104,1.0,ladder,90218.20613597152,12.583806420976098,36037.1808707164,5.999999999999999,False,"[[-2.0, 2.0]]"
11,Blip,True,10.0,stationary,0,H1,-1.4967137997958222,"{""gs_event_time"": 1240595566.29834, ""window_s"": 1.0, ""mode"": ""ladder""}",103.33309936523438,103.33343505859376,103.38489112854003,True,7.685947418212891,7.688556671142578,7.692691802978516,False,18.60816421508789,32.38864707946777,45.33460521697998,True,1.0,True,True,0.0863121951306531,0.0,,4.373,Blip,1240595566.29834,14.2938995361328,0.0781200006604195,0.9999998807907104,1.0,ladder,150363.67689328588,12.583806420976098,60061.96811786066,9.999999999999996,False,"[[-2.0, 2.0]]"
17,Blip,True,3.0,stationary,0,H1,-1.459697309633443,"{""gs_event_time"": 1260562379.36035, ""window_s"": 1.0, ""mode"": ""ladder""}",100.00168685913086,100.00585174560548,101.71362571716308,True,99.94856491088868,99.96076583862305,100.26465606689452,False,15.866334533691406,30.517983436584473,45.26162815093994,True,1.0,True,True,0.0863108210541146,0.0,,4.224,Blip,1260562379.36035,17.3188495635986,0.15625,0.9999997615814208,1.0,ladder,19708.593751810433,32.0497865440787,10953.46368372652,3.0,False,"[[-2.0, 2.0]]"
18,Blip,True,6.0,stationary,0,H1,-1.459697309633443,"{""gs_event_time"": 1260562379.36035, ""window_s"": 1.0, ""mode"": ""ladder""}",7.6866802215576175,7.691738128662109,7.701016426086426,True,99.95171585083008,100.0175666809082,100.0228443145752,False,14.841878890991213,26.69423198699951,45.51090755462646,True,1.0,True,True,0.086311376505133,0.0,,4.17,Blip,1260562379.36035,17.3188495635986,0.15625,0.9999997615814208,1.0,ladder,39417.187503620866,32.0497865440787,21906.92736745304,6.0,False,"[[-2.0, 2.0]]"
19,Blip,True,10.0,stationary,0,H1,-1.459697309633443,"{""gs_event_time"": 1260562379.36035, ""window_s"": 1.0, ""mode"": ""ladder""}",7.522333335876465,7.667366027832031,7.696795654296875,True,7.642883110046387,7.658403396606445,7.660812377929688,False,13.096817016601562,20.466720581054688,43.6478609085083,False,1.0,True,False,0.0863127040079376,0.0,,4.399,Blip,1260562379.36035,17.3188495635986,0.15625,0.9999997615814208,1.0,ladder,65695.31250603478,32.0497865440787,36511.54561242174,10.000000000000002,False,"[[-2.0, 2.0]]"
25,Blip,True,3.0,stationary,0,H1,-1.289213255276929,"{""gs_event_time"": 1267959498.61572, ""window_s"": 1.0, ""mode"": ""ladder""}",99.9696891784668,99.97047424316406,99.97091255187988,True,8.931887817382812,8.995290756225586,9.05378532409668,False,13.980947494506836,21.429067611694336,40.456733512878415,False,1.0,True,False,0.0863110232688136,0.0,,4.193,Blip,1267959498.61572,14.3284797668457,0.0781200006604195,0.9999997615814208,1.0,ladder,32600.725486374635,21.99321168248626,14176.60534965785,3.0,False,"[[-2.0, 2.0]]"
26,Blip,True,6.0,stationary,0,H1,-1.289213255276929,"{""gs_event_time"": 1267959498.61572, ""window_s"": 1.0, ""mode"": ""ladder""}",7.683348083496094,7.692934036254883,7.704258918762207,True,11.513961029052734,11.800397872924805,12.200152587890624,False,11.088343238830566,13.547971725463867,18.304383850097658,False,1.0,True,False,0.086312161842482,0.0,,4.287,Blip,1267959498.61572,14.3284797668457,0.0781200006604195,0.9999997615814208,1.0,ladder,65201.45097274927,21.99321168248626,28353.2106993157,6.0,False,"[[-2.0, 2.0]]"
27,Blip,True,10.0,stationary,0,H1,-1.289213255276929,"{""gs_event_time"": 1267959498.61572, ""window_s"": 1.0, ""mode"": ""ladder""}",7.481233978271485,7.483198165893555,7.492453765869141,True,99.88722229003906,99.88829040527344,99.8944492340088,False,10.061155128479005,10.613630294799805,12.259762001037595,False,1.0,True,False,0.0863148593227855,0.0,,4.253,Blip,1267959498.61572,14.3284797668457,0.0781200006604195,0.9999997615814208,1.0,ladder,108669.08495458213,21.99321168248626,47255.35116552616,10.0,False,"[[-2.0, 2.0]]"
37,Blip,True,3.0,stationary,0,H1,-1.1403457313551382,"{""gs_event_time"": 1253210165.88135, ""window_s"": 1.0, ""mode"": ""ladder""}",99.97071151733398,99.9835205078125,100.00005149841309,True,9.999060249328611,10.122861862182615,10.714409637451173,False,11.878631401062012,16.248884201049805,37.718338584899904,False,1.0,True,False,0.0863111932123712,0.0,,4.448,Blip,1253210165.88135,21.4035301208496,0.1875,0.9999996423721312,1.0,ladder,30778.753511435087,0.0,17248.4646875106,3.0,False,"[[-2.0, 2.0]]"
